firma,ansprechpartner,email,telefon,adresse,stadt,typ,status
Leimener Hausverwaltung,,info@leimener-hausverwaltung.de,06224 71669,,Leimen,hausverwaltung,pending
Riemenschneider & Friends,,info@riemaf.de,06203 9609292,Hirschberger Str. 6,Schriesheim,hausverwaltung,pending
Hausverwaltung Bukac-Mast,,info@hv-bukac.de,,,Leimen,hausverwaltung,pending
Hambrecht Hausverwaltung,,info@hambrecht-hausverwaltung.de,,Leopoldstr. 7,Sandhausen,hausverwaltung,pending
Hausverwaltung Krieg,,info@hausverwaltung-krieg.de,06241 97376-0,,Worms,hausverwaltung,pending
Pfalz Immobilienverwaltung,,info@pfalz-immobilienverwaltung.de,,,Schifferstadt,hausverwaltung,pending
HaImWo Verwaltungsgesellschaft mbH,,info@haimwo.de,,,Mannheim,hausverwaltung,pending
SKM Heidelberg Betreuungsverein,,betreuung-rnk@skm-heidelberg.de,06221 6026-85,Bergheimer Straße 108,Heidelberg,betreuer,pending
Kommunaler Betreuungsverein Mannheim e.V.,Toni Prasse,toni.prasse@mannheim.de,0621-293-2723,"K1, 7-13",Mannheim,betreuer,pending
AWO Betreuungsverein Vorderpfalz,,admin@awo-bv-lu.de,0621 5299320,Maxstr. 65,Ludwigshafen,betreuer,pending
Betreuungsverein Diakonie Ludwigshafen,,info@betreuungsverein-diakonie-lu.de,0621 685562-70,Kirchplatz 7,Ludwigshafen,betreuer,pending
Caritas-Zentrum Ludwigshafen,,caritas-zentrum.ludwigshafen@caritas-speyer.de,0621 598020,"Ludwigstraße 67-69",Ludwigshafen,betreuer,pending
Betreuungsbüro Kreutzenberger,,info@betreuungen-kreutzenberger.de,0162 7859296,Feuerbachstr. 16,Schwegenheim,betreuer,pending
Berufsbetreuer Thomas Gorny,,GornyBetreuung@web.de,06223-9733899,,Ludwigshafen,betreuer,pending
SkF Mannheim e.V. — Rechtliche Betreuung,,info@skf-mannheim.de,,"B 5, 20",Mannheim,betreuer,pending
Betreuungsbehörde Rhein-Neckar-Kreis,Tillmann Schönig,Betreuungsbehoerde@Rhein-Neckar-Kreis.de,06221 522-2500,Kurfürsten-Anlage 38-40,Heidelberg,betreuer,pending
Betreuungsbehörde Ludwigshafen,Uli Keinath,betreuungsbehoerde@ludwigshafen.de,0621 504-2715,,Ludwigshafen,betreuer,pending
